Barometric Pressure (mBar),Inlet Pressure (kPa),Air Flow Pressure (Pa),Oil Pressure (Bar),Fuel Pressure (Bar),Throttle Position (%),Torque (Nm),Engine Speed (rpm),Fuel Flow Rate (cm^3/min),Air Temp. (C),Fuel Temp. (C),Oil Out Temp. (C),Exhaust Temp. (C),Plant In Temp. (C),Cool In Temp. (C),Cool Out Temp. (C),Dyno Out Temp. (C),Oil In Temp. (C),Cal Water In Temp. (C),Cal Water Out Temp. (C),Cal Exhaust In Temp. (C),Cal Exhaust Out Temp. (C)
1035.07,100.73,63.77,3.89,3.13,23.31,8.02,1229.29,5.23,22.70,20.07,42.19,580.68,16.79,60.69,59.76,16.97,47.34,17.03,18.96,54.50,18.21
1035.55,100.64,65.80,3.89,3.12,23.31,8.04,1229.29,1.97,22.80,20.07,42.28,580.77,16.81,60.76,59.91,16.99,47.44,17.11,19.00,54.47,18.23
1037.05,100.76,65.17,3.89,3.12,23.31,7.96,1229.54,3.67,22.78,20.08,42.38,580.83,16.79,60.87,59.98,16.98,47.52,17.09,19.03,54.52,18.23
1036.55,101.03,63.28,3.88,3.13,23.30,7.87,1225.26,5.83,22.73,20.07,42.45,580.84,16.76,60.93,60.08,16.91,47.53,17.07,18.99,54.51,18.21
1035.37,100.85,62.96,3.88,3.11,23.30,7.93,1225.76,1.65,22.77,20.06,42.48,580.91,16.78,60.99,60.12,16.94,47.62,17.01,18.98,54.51,18.21
1035.20,100.58,66.12,3.88,3.12,23.30,7.95,1225.83,1.91,22.74,20.00,42.48,580.98,16.77,61.04,60.20,16.94,47.71,17.04,18.97,54.52,18.18
1036.69,100.63,64.85,3.88,3.12,23.30,7.88,1224.13,6.28,22.73,20.03,42.58,580.98,16.75,61.16,60.35,16.94,47.81,17.02,18.96,54.55,18.17
1036.63,100.89,63.41,3.88,3.11,23.30,7.98,1227.08,4.71,22.75,20.09,42.68,580.92,16.79,61.26,60.46,16.91,47.84,16.99,18.94,54.52,18.15
1035.41,100.92,63.94,3.88,3.13,23.30,7.96,1224.16,3.89,22.76,20.10,42.72,581.06,16.77,61.35,60.47,16.95,47.96,17.01,18.99,54.60,18.22
1035.02,100.79,70.67,3.44,3.12,24.89,11.64,1357.61,9.93,23.41,19.95,67.34,606.82,16.84,75.16,74.38,17.10,70.65,17.06,19.80,85.43,18.68
1034.95,100.60,73.74,3.44,3.12,24.89,11.48,1358.30,9.76,23.45,19.96,67.40,607.00,17.03,75.54,74.69,17.31,70.85,17.24,19.93,85.42,18.79
1035.17,100.61,71.97,3.43,3.13,24.89,11.46,1358.10,9.31,23.59,20.14,67.62,607.19,16.98,75.58,74.87,17.29,70.89,17.21,19.87,85.25,18.78
1035.46,100.57,71.30,3.43,3.13,24.89,11.37,1355.59,9.23,23.56,20.09,67.62,607.31,16.94,75.66,74.92,17.23,70.87,17.18,19.85,85.15,18.80
1035.97,100.57,75.86,3.44,3.13,24.89,11.52,1357.19,9.50,23.57,20.08,67.64,607.43,16.93,75.75,74.98,17.23,70.93,17.23,19.90,85.14,18.78
1036.98,100.95,74.29,3.42,3.11,24.88,11.80,1354.98,8.77,23.62,20.18,68.26,607.80,17.00,77.33,76.59,17.19,71.41,17.19,19.85,86.80,18.83
1036.37,100.94,68.31,3.42,3.12,24.88,11.65,1354.48,9.82,23.54,20.14,68.21,607.86,16.94,77.43,76.63,17.28,71.44,17.20,19.88,87.08,18.88
1035.77,100.88,73.34,3.41,3.13,24.88,11.69,1355.35,9.70,23.61,20.17,68.24,607.94,17.07,77.56,76.77,17.33,71.51,17.25,19.86,87.03,18.84
1035.47,100.77,71.76,3.42,3.13,24.89,11.66,1352.01,8.33,23.55,20.13,68.26,608.00,17.06,77.66,76.86,17.26,71.52,17.22,19.92,87.17,18.86
1035.17,100.72,73.03,3.42,3.12,24.88,11.68,1352.02,8.68,23.59,20.11,68.24,608.01,16.98,77.77,77.00,17.22,71.54,17.23,19.88,86.99,18.82
1035.38,100.62,76.81,3.42,3.12,24.88,11.94,1358.37,9.67,23.56,20.02,68.22,608.02,17.00,77.79,77.12,17.31,71.58,17.18,19.89,86.76,18.78
1035.99,100.51,67.58,3.42,3.12,24.89,11.93,1357.42,9.68,23.61,20.11,68.35,607.96,16.99,77.92,77.19,17.23,71.62,17.22,19.82,86.67,18.83
1036.77,100.63,70.84,3.41,3.13,24.89,11.70,1349.60,9.49,23.57,20.13,68.39,607.97,16.96,78.03,77.34,17.28,71.66,17.23,19.88,86.82,18.89
1037.26,100.80,74.29,3.41,3.13,24.89,11.77,1349.81,9.02,23.66,20.19,68.53,607.95,17.06,78.24,77.51,17.32,71.78,17.30,19.95,87.15,18.96
1037.14,100.90,73.87,3.42,3.12,24.88,11.76,1353.38,9.09,23.67,20.15,68.55,607.91,17.04,78.30,77.54,17.28,71.76,17.25,19.92,87.53,18.86
1037.54,100.60,96.76,3.54,3.13,28.15,19.96,1487.46,24.20,23.99,20.72,64.15,636.53,17.38,77.07,72.57,17.76,67.88,17.61,20.93,93.21,20.65
1037.12,100.47,97.76,3.54,3.13,28.15,20.13,1490.14,24.07,24.01,20.69,64.24,636.82,17.38,76.67,71.89,17.69,67.91,17.52,20.89,93.21,20.58
1036.58,100.45,96.35,3.55,3.14,28.15,19.96,1490.15,24.46,24.02,20.66,64.31,637.01,17.40,76.36,71.35,17.80,68.00,17.59,20.93,93.64,20.58
1035.82,100.51,96.98,3.54,3.14,28.15,19.76,1484.05,24.06,24.07,20.66,64.38,637.26,17.36,75.88,70.77,17.76,68.03,17.56,20.92,94.12,20.52
1035.92,100.59,94.45,3.53,3.13,28.14,19.96,1487.61,23.92,24.07,20.70,64.53,637.41,17.41,75.47,70.38,17.82,68.12,17.49,20.95,94.38,20.53
1036.65,100.86,97.60,3.53,3.13,28.14,20.02,1489.52,24.43,24.03,20.70,64.58,637.53,17.45,74.97,69.90,17.80,68.19,17.55,20.88,94.64,20.54
1037.57,100.72,93.82,3.53,3.14,28.14,19.84,1488.77,24.64,23.98,20.65,64.61,637.67,17.35,74.44,69.54,17.78,68.25,17.52,20.92,94.63,20.57
1037.70,100.76,92.87,3.54,3.14,28.14,20.16,1489.70,24.59,23.97,20.70,64.77,638.11,17.36,73.98,69.20,17.76,68.32,17.60,20.99,94.97,20.60
1037.14,100.58,97.11,3.54,3.13,28.14,20.13,1487.81,23.45,24.02,20.66,64.86,638.24,17.40,73.51,68.83,17.70,68.34,17.50,20.93,95.03,20.54
1035.98,100.48,98.27,3.54,3.13,28.14,19.89,1485.55,23.58,23.96,20.56,64.82,638.35,17.28,73.03,68.52,17.71,68.37,17.54,20.96,95.55,20.58
1035.81,100.57,96.66,3.54,3.14,28.14,19.94,1485.73,23.58,24.03,20.66,64.95,638.62,17.40,72.67,68.31,17.75,68.45,17.52,21.02,95.80,20.57
1036.48,100.89,94.46,3.53,3.14,28.14,19.93,1481.52,23.91,24.07,20.67,65.08,638.86,17.37,72.29,68.12,17.76,68.52,17.57,21.04,96.10,20.59
1037.57,100.86,93.54,3.53,3.14,28.14,19.88,1481.28,23.81,24.02,20.69,65.10,639.16,17.43,71.96,67.97,17.74,68.53,17.50,20.95,96.01,20.60
1037.99,100.53,97.61,3.53,3.13,28.14,19.73,1480.29,23.83,24.07,20.72,65.23,639.63,17.39,71.71,67.88,17.72,68.62,17.59,21.04,96.30,20.54
1036.88,100.45,97.77,3.53,3.13,28.13,19.79,1482.09,23.60,24.02,20.61,65.27,639.97,17.38,71.38,67.81,17.75,68.69,17.59,21.12,96.58,20.60
1036.30,100.38,124.69,3.47,3.13,33.21,31.97,1598.29,42.44,24.06,20.03,68.99,676.33,17.15,76.93,72.63,18.02,72.27,17.60,21.90,113.69,21.20
1036.05,100.74,138.11,3.47,3.12,33.21,32.17,1598.37,43.06,24.08,20.11,69.10,677.04,17.22,76.70,72.15,18.01,72.26,17.58,21.89,114.00,21.17
1037.61,100.84,142.68,3.46,3.13,33.22,32.04,1600.15,43.10,24.01,20.02,69.09,677.47,17.15,76.33,71.69,18.06,72.39,17.59,21.94,113.93,21.14
1037.72,100.64,136.66,3.46,3.13,33.23,32.15,1601.20,42.39,24.00,20.03,69.14,678.05,17.14,75.84,71.32,18.00,72.46,17.67,21.98,114.34,21.41
1036.69,100.31,129.11,3.47,3.13,33.23,31.83,1596.77,42.45,24.08,20.02,69.28,678.48,17.13,75.42,70.97,18.00,72.52,17.61,22.00,114.77,21.41
1035.98,100.47,114.18,3.46,3.14,33.23,32.24,1598.30,42.70,24.08,20.04,69.29,678.96,17.15,75.01,70.55,17.98,72.54,17.59,21.98,115.00,21.39
1036.63,100.80,127.21,3.46,3.13,33.24,32.25,1598.56,42.77,24.05,20.05,69.35,679.34,17.15,74.60,70.21,18.05,72.58,17.66,22.01,115.36,21.43
1037.98,100.81,143.35,3.46,3.12,33.24,32.27,1599.57,42.94,24.08,20.08,69.47,679.84,17.18,74.33,69.97,18.04,72.70,17.65,22.11,115.43,21.44
1037.67,100.63,131.93,3.46,3.13,33.24,32.24,1601.32,42.40,24.10,20.03,69.50,680.25,17.12,73.93,69.67,18.03,72.75,17.68,22.09,115.60,21.42
1036.49,100.34,124.54,3.46,3.13,33.25,32.38,1599.72,43.13,24.09,20.04,69.55,680.58,17.18,73.60,69.43,18.05,72.81,17.66,22.12,116.07,21.51
